condition,seed,row_count,unique_code_count,benchmark_feasible_rows,pass_rate_feasible_benchmark,certified_optimal_rows,certified_optimal_gap_mean,certified_optimum_attainment_rate,all_feasible_gap_lower_mean,all_feasible_gap_upper_mean
extended-without-hypothesize-step120,101,894,1,878,1.0,847,0.037539025372363866,0.6186540731995277,0.03856195570052154,0.06329371843950848
extended-without-hypothesize-step120,202,903,12,883,1.0,859,0.0654910212003341,0.3969732246798603,0.06621477803205739,0.08562218468279567
extended-without-hypothesize-step120,303,875,3,860,0.9267441860465117,831,0.12717924803400651,0.28399518652226236,0.14484100863356958,0.1524959458175109
extended-without-hypothesize-step150,101,894,2,878,1.0,847,0.03939154671275316,0.6115702479338843,0.04030362180184783,0.06507728235284302
extended-without-hypothesize-step150,202,903,2,883,1.0,859,0.05772562314227601,0.39930151338766007,0.058494111919940035,0.07793267368893093
extended-without-hypothesize-step150,303,875,1,860,0.9267441860465117,831,0.13134245306900133,0.28279181708784595,0.14870905043500596,0.15649643711414363
extended-without-hypothesize-step180,101,894,1,878,0.9236902050113895,847,0.1779878776782847,0.5053128689492326,0.17365104202448528,0.19878484020627174
extended-without-hypothesize-step180,202,903,3,883,1.0,859,0.060939996684133746,0.4062863795110594,0.061647850500810716,0.0810624678868923
extended-without-hypothesize-step180,303,875,1,860,0.9267441860465117,831,0.12775041355511058,0.28640192539109505,0.1452253481349004,0.15302070930139644
