Method,Seed,Rows,FeasibleBenchmarkRows,ProvedInfeasibleRows,PassRateFeasibleBenchmark,PassRateAllRows,CertifiedOptimalRows,CertifiedOptimalGapMean,CertifiedOptimalGapLowerMean,CertifiedOptimalGapUpperMean,CertifiedOptimalReferenceIntervalMean,CertifiedOptimalReferenceIntervalMax,CertifiedOptimalReferenceRelativeIntervalMax,CertifiedOptimumAttainmentRate,UnresolvedFeasibleRows,UnresolvedGapLowerMean,UnresolvedGapUpperMean,AllFeasibleGapLowerMean,AllFeasibleGapUpperMean,FalseFeasibleOnProvedInfeasible
Greedy,303,875,860,15,1.0,0.9828571428571429,831,0.2396314485845774,0.2396314485845774,0.2396315423437681,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.24428399518652227,29,0.04083520886570124,0.7450257114455012,0.23292785445452227,0.25667390385998934,0
Hand-written SA,101,894,878,16,0.9681093394077449,0.9507829977628636,847,0.028454123558613872,0.028454123558613872,0.028454227694807325,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.7981109799291618,31,0.7433329686969853,0.8857578472588611,0.05369472059652904,0.05872348988898234,0
Hand-written SA,202,903,883,20,0.9716874292185731,0.9501661129568106,859,0.026303364140940852,0.026303364140940852,0.026303462919785157,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.8020954598370198,24,0.8756112383810842,0.9462657314626585,0.04938760987340227,0.05130809989037288,0
Hand-written SA,303,875,860,15,0.9686046511627907,0.952,831,0.028295947401889142,0.028295947401889142,0.028296067437915635,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.7966305655836342,29,0.6919811338899737,0.8690509063608486,0.05067602927183618,0.056647102703921516,0
Local Search,101,894,878,16,1.0,0.9821029082774049,847,0.09130378959761258,0.09130378959761258,0.09130388512971753,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.6127508854781583,31,0.018151473833805724,0.7583201795258232,0.08872096295902715,0.1148545743396028,0
Local Search,202,903,883,20,1.0,0.9778516057585825,859,0.09724791583471015,0.09724791583471015,0.09724800719698135,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.6146682188591386,24,0.024869990905738066,0.7859398099735575,0.0952806789170484,0.11596669719317368,0
Local Search,303,875,860,15,1.0,0.9828571428571429,831,0.08429044641593751,0.08429044641593751,0.08429055902774435,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.6040914560770156,29,0.014374392167121977,0.730620006244791,0.08193281202847746,0.10608538922459824,0
Ours (Hero),101,894,878,16,0.9931662870159453,0.9753914988814317,847,0.028830620657087122,0.028830620657087122,0.028830723924493474,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.6103896103896104,31,0.2608236399901536,0.8080053625444258,0.037021718150623634,0.05634144578920635,0
Ours (Hero),202,903,883,20,1.0,0.9778516057585825,859,0.057880843077550696,0.057880843077550696,0.05788093926764475,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.3981373690337602,24,0.06984719964725801,0.7956212423632381,0.058206089462231304,0.07793277083536189,0
Ours (Hero),303,875,860,15,0.9906976744186047,0.9737142857142858,831,0.03330980854910801,0.03330980854910801,0.03330992815962774,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.5246690734055355,29,0.08946320741746502,0.7525082411358861,0.03520335339466888,0.05756196429487365,0
ShinkaEvolve,101,894,878,16,0.9179954441913439,0.901565995525727,847,0.16921562361828735,0.16921562361828735,0.16921571783961825,6.387982833581801e-06,6.564002089248788e-05,1.2148654364947388e-06,0.51357733175915,31,0.06541461383819382,0.7757933548007954,0.1655506676921109,0.19063246811956866,0
ShinkaEvolve,202,903,883,20,0.9456398640996603,0.9246954595791805,859,0.1262244058019315,0.1262244058019315,0.12622450008603026,6.167376146125832e-06,8.726056470464982e-05,1.5188176001531017e-06,0.5797438882421421,24,0.156630017117616,0.8289160458361269,0.12705083238355827,0.14532370404752779,0
ShinkaEvolve,303,875,860,15,0.9186046511627907,0.9028571428571428,831,0.15737370951511703,0.15737370951511703,0.15737381594031383,7.089908126336566e-06,6.11245715589348e-05,1.1405598291502637e-06,0.5655836341756919,29,0.09203335018407353,0.7511562419583953,0.1551703718167446,0.17739671170138863,0
