instance,solver,score,time_sec,feasible,gap,extras
greedy_easy_s8_i8,mip_highs,39.227824641468686,0.0028744590235874057,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
greedy_easy_s8_i8,dimod_sa,-inf,6.558452541008592,False,,
greedy_easy_s8_i8,bnb,39.227824641468686,0.014134791970718652,True,,{'nodes': 5057}
greedy_easy_s9_i9,greedy,35.94706169839153,3.362499410286546e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
greedy_easy_s9_i9,local_search,33.960462367207654,0.00010250002378597856,True,,
greedy_easy_s9_i9,cpsat,35.94706169839153,0.002257084008306265,True,2.114052129797983e-06,{'status': 4}
greedy_easy_s9_i9,mip_highs,35.94706169839153,0.0031282499548979104,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
greedy_easy_s9_i9,dimod_sa,-inf,6.767158999980893,False,,
greedy_easy_s9_i9,bnb,35.94706169839153,0.011967458005528897,True,,{'nodes': 4289}
local_optima_s1000_i0,greedy,32.0,5.58749889023602e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1000_i0,local_search,15.4,0.0001272080116905272,True,,
local_optima_s1000_i0,cpsat,40.0,0.007936540991067886,True,5.230108219222984e-05,{'status': 4}
local_optima_s1000_i0,mip_highs,40.0,0.005801209015771747,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1000_i0,dimod_sa,-inf,14.318185375013854,False,,
local_optima_s1000_i0,bnb,40.0,0.9484941249829717,True,,{'nodes': 209593}
local_optima_s1001_i1,greedy,32.0,5.604099715128541e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1001_i1,local_search,15.4,0.00013545900583267212,True,,
local_optima_s1001_i1,cpsat,40.0,0.003496624995023012,True,3.4292944441460804e-05,{'status': 4}
local_optima_s1001_i1,mip_highs,40.0,0.0038389579858630896,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1001_i1,dimod_sa,-inf,14.261060583987273,False,,
local_optima_s1001_i1,bnb,40.0,0.9300220829900354,True,,{'nodes': 208423}
local_optima_s1002_i2,greedy,32.0,5.9125013649463654e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1002_i2,local_search,15.4,0.00013370899250730872,True,,
local_optima_s1002_i2,cpsat,40.0,0.0038064589607529342,True,3.7854559217009864e-05,{'status': 4}
local_optima_s1002_i2,mip_highs,40.0,0.004639791033696383,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1002_i2,dimod_sa,-inf,14.309742666955572,False,,
local_optima_s1002_i2,bnb,40.0,0.9530330420238897,True,,{'nodes': 215135}
local_optima_s1003_i3,greedy,32.0,6.066699279472232e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1003_i3,local_search,15.554200785834999,0.00013337505515664816,True,,
local_optima_s1003_i3,cpsat,40.0,0.0036602080217562616,True,4.019368131480405e-05,{'status': 4}
local_optima_s1003_i3,mip_highs,40.0,0.005201415973715484,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1003_i3,dimod_sa,-inf,14.176273083954584,False,,
local_optima_s1003_i3,bnb,40.0,0.929752083029598,True,,{'nodes': 210367}
local_optima_s1004_i4,greedy,32.0,5.616701673716307e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1004_i4,local_search,15.482081373018145,0.00013554200995713472,True,,
local_optima_s1004_i4,cpsat,40.0,0.003516790980938822,True,4.49421552275453e-05,{'status': 4}
local_optima_s1004_i4,mip_highs,40.0,0.0053740000003017485,True,,"{'pulp_status': 'Optimal', 'status_code': 1, 'solver': 'highs'}"
local_optima_s1004_i4,dimod_sa,-inf,14.19835141702788,False,,
local_optima_s1004_i4,bnb,40.0,0.9716039999620989,True,,{'nodes': 214147}
local_optima_s1005_i5,greedy,32.0,5.8999983593821526e-05,True,,"{'selected': [0, 1, 2, 3, 4]}"
local_optima_s1005_i5,local_search,15.4,0.00013275002129375935,True,,
local_optima_s1005_i5,cpsat,40.0,0.0036599580198526382,True,4.63081521857589e-05,{'status': 4}
