solver,mean_norm_score,frac_best,mean_time
cpsat,1.0,1.0,0.01377642245934112
mip_highs,1.0,1.0,0.059178435476496816
bnb,0.9825198367793757,0.825,0.5808050796476891
greedy,0.9319287735059891,0.5125,0.00014462973776971922
local_search,0.8527287253272892,0.35,0.006525160415912978
dimod_sa,0.0,0.0,14.18440228541076
