stage,n_groups,frac_groups_with_any_feasible,mean_feasible_count_in_group,feasible_completion_rate
early,427,0.8875878220140515,23.320843091334893,0.3643881733021077
middle,428,0.8247663551401869,39.47663551401869,0.616822429906542
late,429,0.8624708624708625,50.94405594405595,0.7960008741258742
