bin_start,bin_end,n_groups,frac_groups_with_any_feasible,mean_feasible_count_in_group,feasible_completion_rate
0.0,0.1,129,0.8449612403100775,10.0,0.15625
0.1,0.2,128,0.9296875,24.1953125,0.3780517578125
0.2,0.3,129,0.875968992248062,31.24031007751938,0.4881298449612403
0.3,0.4,128,0.9296875,37.4140625,0.5845947265625
0.4,0.5,127,0.7952755905511811,39.31496062992126,0.6142962598425197
0.5,0.6,129,0.7364341085271318,36.95348837209303,0.5773982558139535
0.6,0.7,128,0.8828125,46.4453125,0.7257080078125
0.7,0.8,129,0.8682170542635659,50.27131782945737,0.7854893410852714
0.8,0.9,128,0.8984375,53.1796875,0.8309326171875
0.9,1.0,129,0.8217054263565892,50.434108527131784,0.7880329457364341
