seed,job_id,n_groups,frac_groups_with_any_feasible,mean_feasible_count_in_group,feasible_completion_rate,early_frac_groups_with_any_feasible,early_mean_feasible_count_in_group,early_feasible_completion_rate,middle_frac_groups_with_any_feasible,middle_mean_feasible_count_in_group,middle_feasible_completion_rate,late_frac_groups_with_any_feasible,late_mean_feasible_count_in_group,late_feasible_completion_rate
101,1743423,420,0.8904761904761904,40.75,0.63671875,0.8785714285714286,23.27857142857143,0.36372767857142857,0.8428571428571429,39.885714285714286,0.6232142857142857,0.95,59.08571428571429,0.9232142857142858
202,1743424,479,0.7661795407098121,31.878914405010438,0.4981080375782881,0.8742138364779874,23.08805031446541,0.360750786163522,0.73125,37.775,0.590234375,0.69375,34.71875,0.54248046875
303,1743425,385,0.9376623376623376,42.4,0.6625,0.9140625,23.65625,0.36962890625,0.921875,41.15625,0.64306640625,0.9767441860465116,62.23255813953488,0.9723837209302325
