seed,condition,method,instance,family,n_cities,repetition,trial_seed,feasible,tour_length,optimum,optimality_gap,runtime_seconds,status,solver_sha256
101,trained,trained,kroD100,krod,100,0,3101064183,True,22840.0,21294.0,0.07260261106414953,1.484845292987302,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroD100,krod,100,1,1557070360,True,22840.0,21294.0,0.07260261106414953,1.4882170930504799,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroD100,krod,100,2,2495143301,True,22840.0,21294.0,0.07260261106414953,1.5004545719129965,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroD100,krod,100,3,2668892419,True,22840.0,21294.0,0.07260261106414953,1.4955834889551625,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroD100,krod,100,4,500562622,True,22840.0,21294.0,0.07260261106414953,1.4846724020317197,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroE100,kroe,100,0,3165772091,True,22466.0,22068.0,0.01803516403842668,1.9531379810068756,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroE100,kroe,100,1,3842936963,True,22466.0,22068.0,0.01803516403842668,1.9573178520658985,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroE100,kroe,100,2,832104093,True,22466.0,22068.0,0.01803516403842668,1.9563141709659249,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroE100,kroe,100,3,4080197835,True,22466.0,22068.0,0.01803516403842668,1.977239349973388,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
101,trained,trained,kroE100,kroe,100,4,3766373852,True,22466.0,22068.0,0.01803516403842668,1.9688830639934167,FEASIBLE,9fe595a8ffc48199526253b695bd811f88684f0f22aa42d1611704ae664432f3
